Mixture,B cells,CD8 T cells,CD4 T cells,NK cells,Monocytes,Neutrophils,P-value,Correlation,RMSE
18,0.198163947611921,0.0798970738018511,0.298409068210994,0.207005086641845,0.110839487547043,0.105685336186346,0,0.82277213799502,0.716588930327558
19,0.160804254586252,0.111117672566929,0.154504230746303,0.213725389368427,0.279959922744478,0.0798885299876115,0,0.834986327719361,0.652948414907701
20,0.161573896580829,0.036422166416128,0.19795742061653,0.253368409773138,0.227342742436297,0.123335364177078,0,0.866323345377586,0.632384301770173
21,0.172287488297698,0.0682705689509519,0.223235543428721,0.252322854141893,0.187566614813794,0.0963169303669424,0,0.802709717276138,0.701930141165928
22,0.147667167511894,0.0681223443881798,0.266908991581871,0.137325847049576,0.29206689913564,0.0879087503328391,0,0.876194074702303,0.621274419375398
23,0.216746580835849,0.112688653681097,0.141820577953939,0.271751716290299,0.166903882434548,0.0900885888042684,0,0.823571985345672,0.689888693430295
24,0.236377954958751,0.0228431853524298,0.263112303822952,0.23649357977582,0.178881194662637,0.0622917814274113,0,0.844322036406586,0.687057639517344
25,0.188802184960074,0.00253515089980918,0.245874116635858,0.293297888478161,0.134901041107309,0.134589617918789,0,0.840221209592836,0.672600509042594
26,0.141454762225361,0,0.291235139539241,0.219559514011653,0.2074484791243,0.140302105099445,0,0.848698960564196,0.653157821113592
27,0.195711223137994,0.167906237311614,0.129014595421769,0.277059597532037,0.164177265854117,0.0661310807424693,0,0.804685119176874,0.708335509661373
28,0.167344087894025,0.103357047483131,0.149748376275299,0.237148444873397,0.212520140610658,0.129881902863491,0,0.868453670774917,0.636682109833288
29,0.143537442719785,0.0787217312835433,0.201571794017661,0.278745321794563,0.141464421427363,0.155959288757085,0,0.855016472639289,0.655434788665753
30,0.227179322586294,0.101945942344012,0.151180777126772,0.186827509107751,0.206365407864872,0.126501040970299,0,0.882548397452417,0.633621644956262
31,0.0768922023339314,0.0302409754902837,0.215868651165023,0.323935180526213,0.239932853312894,0.113130137171654,0,0.8725241364377,0.612322638760963
32,0.243980445533458,0.0345222916115986,0.156218836102678,0.244103822277321,0.204849879391254,0.116324725083691,0,0.846124039791212,0.653933965712108
33,0.159727508655286,0.11778756775518,0.164488591474495,0.197607210357042,0.236651998090518,0.123737123667478,0,0.860277962242748,0.640534077031327
34,0.178304340520296,0.013733525758587,0.278229934518732,0.199375509310888,0.226482717014504,0.103873972876994,0,0.844371530588658,0.664684708490943
35,0.144811706956609,0.0957829908644195,0.142917507103449,0.237416149832912,0.216097987631037,0.162973657611574,0,0.866694026974352,0.620272491272699
36,0.300244200457748,0.0377239733135653,0.16474696632554,0.215144804147159,0.200928860021314,0.0812111957346741,0,0.88523793612174,0.637045276262193
37,0.14006031358717,0,0.174516963722869,0.250001696992036,0.267963202196304,0.16745782350162,0,0.895991236302152,0.564765751658642
38,0.288534019765113,0.0145226929391942,0.228162852598139,0.163537516810777,0.241648938927494,0.0635939789592827,0,0.858232805179964,0.652209213018772
39,0.257336394653371,0.00388073481465928,0.208690523469024,0.185026813971179,0.216156733534204,0.128908799557563,0,0.878617446479532,0.626230140583602
