"","col_names","B.cells","CD8.T.cells","CD4.T.cells","NK.cells","Monocytes","Neutrophils"
"58","X57","0.147958367421159","0.0613867215842382","0.122740852963564","0.175491729557115","0.275265990254133","0.217156338219791"
"59","X58","0.249684095087728","0.0943408739016299","0.0625518008935682","0.126139101269108","0.291656965165752","0.175627163682214"
"60","X59","0.405303445021854","0.0178732747150572","0.0353940244004193","0.116560591024305","0.324518586633387","0.100350078204978"
"61","X60","0.271502398774076","0.0207239155654758","0.0824843486624831","0.216386450853334","0.32906053295569","0.0798423531889413"
"62","X61","0.280196520848031","0.0151850983274805","0.122292617241602","0.161592688189104","0.317640747268299","0.103092328125484"
"63","X62","0.224048838071665","0.0913929217777821","0.0821511963804885","0.192107764535015","0.223892645335382","0.186406633899667"
"64","X63","0.138308584772833","0","0.0987378557564138","0.332030814945894","0.342553712107452","0.0883690324174075"
"65","X64","0.188771252886658","0.062220879786812","0.0755491169911336","0.215963561316919","0.340566172078255","0.116929016940223"
"66","X65","0.167225519159636","0.087429831413787","0.15556708284406","0.215406956969263","0.249281179911292","0.125089429701962"
"67","X66","0.311967566877011","0.0643149235741864","0.01414849177907","0.140999139288317","0.272284872098066","0.19628500638335"
"68","X67","0.337187301420781","0.0719763459924423","0.0940639203883515","0.084231679353949","0.32537580365474","0.0871649491897356"
"69","X68","0.208329635701311","0.00570108234194838","0.0610919860747837","0.195964048182757","0.421046669182964","0.107866578516235"
"70","X69","0.263443315853271","0","0.114634850339848","0.169044225017048","0.297572388312393","0.15530522047744"
"71","X70","0.313249892513967","0.0214485810849887","0.14333306552741","0.134262062464752","0.305442164798453","0.0822642336104292"
"72","X71","0.21988269536552","0.0252587734698756","0.0768872480611408","0.114949403130895","0.334082634665677","0.228939245306892"
"73","X72","0.258849804192757","0.0368476057493344","0","0.214467308576108","0.319746324849667","0.170088956632135"
"74","X73","0.267858022140196","0.0756337865514238","0","0.286751220165631","0.272042060025767","0.0977149111169818"
"75","X74","0.159400749905576","0.0119725931174587","0.158854607562252","0.299007364774444","0.279904144735111","0.0908605399051583"
"76","X75","0.311265314706197","0.036382174471717","0.0990667931755137","0.193053335029847","0.262291387263578","0.0979409953531474"
"77","X76","0.199010171529338","0.0565432879441691","0.0372921925956215","0.227220471618158","0.299526995535836","0.180406880776878"
"78","X77","0.27065635192041","0","0.217232250622294","0.188210275221157","0.276352058810897","0.0475490634252415"
"79","X78","0.244981766329029","0.0477472451683801","0.066096968861552","0.121605367502599","0.334196232219577","0.185372419918863"
"80","X79","0.250066590943541","0.0837208827733487","0.102810138693853","0.170843273241031","0.258213875702862","0.134345238645365"
"81","X80","0.360489245869517","0.0476023312390709","0.0503073794046408","0.11449644425348","0.262307111925576","0.164797487307715"
"82","X81","0.201197306278718","0.0698599664870895","0.0795374227735241","0.164119494424091","0.296562749158516","0.188723060878061"
"83","X82","0.264284174656383","0.0377520316740172","0.0315514535578817","0.18620126472201","0.328141319360564","0.152069756029145"
"84","X83","0.208648442354767","0.0248610003428918","0.0357058691153304","0.236288560942924","0.289189683147222","0.205306444096865"
"85","X84","0.259399836231137","0.0476298165095161","0.0527099374438015","0.161023100109179","0.307723305641053","0.171514004065313"
"86","X85","0.275202402840202","0.0119763115371761","0.0967139730630611","0.212434843094578","0.30449055055513","0.0991819189098527"
"87","X86","0.266919336398646","0","0.121228063475828","0.167675887057219","0.28895208578078","0.155224627287527"
"88","X87","0.251490714119857","0.136801041486177","0","0.25757442141966","0.234506374122228","0.119627448852079"
"89","X88","0.247516252555648","0.002152476440375","0.105067971745773","0.164214505623375","0.279266534672461","0.201782258962369"
"90","X89","0.234567465971901","0.0828158429282624","0.0806083323674621","0.0943869202123082","0.368979687942374","0.138641750577693"
"91","X90","0.178045638558567","0.0194715173235975","0.0837424192443836","0.182054527487588","0.340014204416539","0.196671692969325"
"92","X91","0.253704519607619","0.0086571431477831","0.122430503857965","0.126162376601119","0.325912182666562","0.163133274118952"
"93","X92","0.283324160683927","0","0.190393646202674","0.204924203033817","0.263793813248077","0.0575641768315048"
"94","X93","0.311549578185692","0.0948343919247883","0.0807081780672366","0.174975516524383","0.257510371104125","0.0804219641937745"
"95","X94","0.261964160870806","0.0954527217231843","0.0472827094782938","0.108942359279259","0.221530673313139","0.264827375335318"
"96","X95","0.27668661195186","0","0.143998408356691","0.164026359385837","0.339212193188979","0.0760764271166335"
"97","X96","0.306880809436761","0","0.0752636499160938","0.138851537377015","0.344140263992372","0.134863739277758"
"98","X97","0.246428618043409","0","0.134324267822363","0.12484259579142","0.277319888983481","0.217084629359326"
"99","X98","0.254508527707982","0.0118358168994168","0.0851142910035258","0.0916737093141535","0.345638840796615","0.211228814278307"
"100","X99","0.287551376880457","0.0779294176163027","0.0918546393391504","0.213013464418575","0.229569224078341","0.100081877667174"
