Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
17-042,0.01955479491579657,0.0021863814292767355,0,0.07069780756319496,0,0.06808482967868877,0.07623329671984529,0.023081902037145743,0,0.013663255993879991,0.050792874519595035,0.05745297009590233,0.5463864491378111,0,0,0.02727695252146224,0,0.009257926944618378,0.03533055844278281,0,0,0,0,0.3559962016815135,0.9541931156460451
17-043,0.026756158463418195,0.0003,0,0.09488504305713646,0.15912573327226623,0.14487029094745568,0.06196782763310528,0,0,0,0.04855193943349331,0.0974904512017402,0.19001673066361002,0.010352399732084426,0,0.03891064252733432,0,0.00987316963447166,0.11686639589103108,0,0,0,0,0.28834996673708496,0.9756438957789124
17-045,0.05220081874424667,0.015073492917988098,0,0.2042295709296193,0.14133006468167122,0.15692224946854927,0.02359982230141028,0,0,0.00555916917000058,0,0.12306607397325782,0.15163264735811283,0.003314444147620098,0,0.035792091076750306,0,0.00959366406694585,0.07768589116382768,0,0,0,0,0.30531850817393597,0.9754111167482604
17-047,0.038271580468046386,0.01681082511839963,0,0.1418500921782814,0.15452801334766847,0.09417490525459613,0.07425246949644382,0,0.013861210804464758,0.008479876111943736,0.04279391272815974,0.12085679843976642,0.12449141165144713,0.024924222065158447,0,0.012963146420320405,0,0.008867435479393157,0.12287410043591035,0,0,0,0,0.28089911840976794,0.9846633164482239
17-054,0.055393053748504506,0.027012908087042976,0,0.1740435657177347,0.125021656781408,0.13556983186298546,0.04927902559861262,0.023860001035336,0.05504536477461963,0,0,0.037540627949408004,0.2318527967776921,0,0,0.022095714826957834,0,0.011771736491205408,0.051513716348492736,0,0,0,0,0.2750491925942724,0.9817487240350333
17-055,0.021241869092804982,0.013751122519384975,0,0.06565157198580558,0.048345213757998495,0.19529258090890916,0.029715281395926968,0,0.012456044586621291,0,0.022921095154244894,0.061076417757184295,0.37524427385831755,0,0,0.05408267770188977,0,0.016265180244737384,0.07866211847794122,0,0,0.005294552558233441,0,0.29630060383389834,0.970653157368215
17-057,0.03510584422580641,0.017514487760312437,0,0.4781693179335997,0.06287397462210073,0,0.016917983627596236,0.03626186707265236,0.04004872397574583,0,0,0.0645811216610238,0.13105025040142643,0.004426690017325506,0,0.0256442443318929,0,0.011010081589390888,0.07639541278112683,0,0,0,0,0.29948543634741154,0.9880635896580358
17-058,0.03929280287918108,0.021965718866622855,0,0.3233634870113834,0.16208477413620934,0.07164026880371205,0,0.027202117725510937,0.04965024917353932,0,0,0.07886421706164633,0.16487150912489948,0,0,0.014069742921604423,0,0.007935632312251509,0.039059479983439276,0,0,0,0,0.2284713683118952,1.025629070819285
17-060,0.05526336308600269,0,0,0.27733249196086623,0,0.09012783132624103,0.06696607825051056,0,0.00929976335227343,0.12208146518390961,0,0.060652371127631034,0.29049301826739676,0,0,0.0041913977825863615,0,0.005404656914008107,0,0.01584607488410188,0,0.0023414878644723172,0,0.34311028200807425,0.9611305636651575
17-061,0.04904780614138318,0,0,0.17264176078742152,0,0.21228660959441603,0.04662302381838995,0,0.01148956374967397,0.1031429631549564,0,0.051643025129303965,0.22758082888573095,0.01778960457370411,0,0.02324737526480555,0,0.016565348215786636,0.0679420906844277,0,0,0,0,0.358530435566286,0.9425012548989273
