"","X17.002","X17.006","X17.019","X17.023","X17.026","X17.027","X17.030","X17.034","X17.040","X17.041","X17.042","X17.043","X17.045","X17.047","X17.054","X17.055","X17.057","X17.058","X17.060","X17.061"
"Monocytes",0.748353471076962,0.657719205126048,0.736739403076103,0.786405331665663,0.762787910881989,0.792942470715908,0.772516807530113,0.800785955639507,0.772556786542098,0.782535168656532,0.840199128119211,0.763351762701203,0.766064857023028,0.702160803871414,0.738185272941806,0.837369435958787,0.644166621783654,0.610087782717873,0.755906122776991,0.757771244888269
"Macrophages.M0",0.601800578672532,0.58168073925169,0.580049973446492,0.619938850695969,0.557771591406611,0.512240997377898,0.60112727539059,0.63245443109281,0.633372063708121,0.605711319057163,0.659530507778214,0.608467342093153,0.562706136000162,0.568295106751106,0.609765261024568,0.702364026667046,0.520860291912108,0.52241618884835,0.57097875205604,0.601158422957585
"Macrophages.M1",0.567228985735147,0.573059468065909,0.503523797296113,0.501681080280454,0.466455743231642,0.432706094339855,0.462975429355219,0.474048472835393,0.488972749510887,0.457783051198464,0.529777339834205,0.530625367355204,0.465729787419284,0.427132946689117,0.530785992419877,0.500701855221624,0.463904153266546,0.405698008529613,0.443356943748214,0.511839986517315
"Macrophages.M2",0.709037833222231,0.532279241857942,0.673040861642306,0.602289065925146,0.617254565087687,0.637924850962032,0.711817940586724,0.706237040002112,0.678114881831432,0.642598936232131,0.72711355606253,0.703078957742732,0.606860392934712,0.579941169516629,0.642767157509371,0.720293639632223,0.553099760218704,0.455794627561006,0.563480437400761,0.645773797878824
"Dendritic.cells.resting",0.518584256672956,0.427440926330108,0.550187333435137,0.377600127298784,0.436660569675628,0.504439048075945,0.544628701936868,0.470177732717839,0.444396156218108,0.488131547399877,0.462913329997698,0.449588865164973,0.459624823562033,0.432099475123731,0.522020465325917,0.528414683595934,0.512298346673873,0.441453388891089,0.485803975888321,0.472305736059825
"Dendritic.cells.activated",0.494727791173608,0.485184807587269,0.528091301107823,0.467052922267083,0.482336832736269,0.473585253468678,0.515461333510642,0.502547223131076,0.528967953517566,0.491528934344986,0.548767762352448,0.488610377039208,0.510079984015418,0.480691965385907,0.56371357724332,0.572374840694408,0.513648148996194,0.464940881317296,0.498934748312405,0.519012284210594
"Mast.cells.resting",0.581649721571276,0.571741327583098,0.61994817218809,0.492738887452505,0.534961564950699,0.5663758645227,0.607475537444917,0.630120017155105,0.595622903781428,0.624755112255669,0.54371229485015,0.629777614606826,0.633457780295252,0.622177428299926,0.602068347621985,0.605925768165877,0.585902953694323,0.617975232987045,0.635898172166297,0.594514056467611
"Mast.cells.activated",0.609618734878516,0.546755718647088,0.425030586777142,0.529584826164434,0.469800547269698,0.503805844874219,0.445144828157151,0.502509335455192,0.57203893968004,0.540843546444687,0.554233397271653,0.547265403072278,0.547911871542806,0.519278287918008,0.604252266157657,0.59087814588778,0.579366386239471,0.54219971456562,0.523408834661333,0.579280775198149
"Eosinophils",0.871994092263956,0.871376833538186,0.856247487623269,0.857544445212291,0.878322062334412,0.87728188102742,0.868530337466804,0.908247943804326,0.905016848726483,0.893747752483501,0.917182479304522,0.919179936725487,0.886803378972418,0.866610103746237,0.892417517306634,0.915806863452265,0.867485570522432,0.857536219177965,0.898367907092027,0.890508772062877
"Neutrophils",0.857533660710376,0.817657228192281,0.821201397786519,0.855505381803281,0.821755158891541,0.820864487769437,0.88462219352173,0.838739531424879,0.841550623662498,0.83262161904766,0.875497993387073,0.866814363051538,0.810447243699367,0.810528313074741,0.820641855601041,0.859148156065847,0.800632961569764,0.756735929230152,0.857215904923178,0.839147987678423
