Input Sample,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Pearson Correlation,RMSE
13,0.06123388003286397,0.08248986883453971,0.07304207941543168,0.1547086080265097,0.0965934404451388,0.11125334071744374,0.07206433092880345,0.037336749407598936,0.04942477015421682,0.017155596656121538,0.07200116172847018,0.0027790591526920295,0.07140105727667641,0.02271080226340667,0.00797816306305709,0.06782709189702919,0,0.95159510557482,0.5789994917309352
14,0.0545456927893745,0.08894442503423697,0.0006,0.11496015102934161,0.1205306195675275,0.07696618985119416,0.057474000544602076,0.01526886082519949,0.1007223785057332,0.06846213111624078,0.09145560888326801,0.03449080202605529,0.06616027162873675,0.05070883379567708,0.048376640664850014,0.010381234226382692,0,0.9530331097929202,0.6037833572080196
15,0.1116729074606153,0.02447139901905343,0.019350750754559443,0.0881217073237732,0.15663545510101387,0.0840007326865866,0.039310334155322174,0.061983064771414145,0.023055752362144393,0,0.07566926563631025,0.012935380609976272,0.11462257223052622,0.033699903808565954,0.0573725442137015,0.09709822986643721,0,0.9197533710353105,0.6335040686616153
16,0.08376203242411774,0.09570238988007275,0.07261068556606898,0.08434403687151895,0.08737591986937461,0.11299711245397755,0.004495747717809331,0.0725056267837878,0.015328079880091943,0.07434936562379403,0.06871383132121596,0.03868619331391451,0.04783839346503242,0.036281183729888304,0.029705070626258944,0.07530433047307612,0,0.9600064112875734,0.6112859445070863
17,0.06277577789809641,0.11229304262596733,0.03146670501529241,0.11486819022197808,0.08561149528649012,0.07087133354601789,0.10692750105837331,0,0.03968230448489122,0.10322525983978137,0.08253155101901544,0.07882067107548171,0.05601438990559526,0.03173629658421652,0.009897699898772672,0.013277781540030176,0,0.9219857802120685,0.6258440618474505
18,0.07938208135092999,0.05914773734754932,0.09667699368704726,0.11201419460346908,0.10997598418833633,0.08735945438148442,0.07442527193734731,0.04833229364867267,0.025844536882033652,0.011082511196450017,0.04652757768718443,0.053415560956924915,0.08637761883939922,0.0012142185250059152,0.06314599812797254,0.04507796664019289,0,0.9477868013202507,0.586859498523336
19,0.016097119172766877,0.04425474431403067,0.10160222011189086,0.08018213133954621,0.07524964449180493,0.05224248059133831,0.04084725953261419,0,0.09512083026306362,0.11166728690791174,0.04687392405932605,0.10608976249019149,0.09415549913148237,0.07558385960602527,0.042603117412873766,0.017430120575133556,0,0.9354092373725413,0.6060822309894598
20,0.10774940781431971,0.006369058880547611,0.03280254484458011,0.06520089172261224,0.052887018318801736,0.1001638962846792,0.03814612819558877,0.049534697401477354,0.08085127363936212,0.054907702985912986,0.06357975271737253,0.07980831230395789,0.08425131341592768,0.06743683245153152,0.06305729689758277,0.05325387212574585,0,0.9485408727998331,0.6076290569263961
21,0.01540203812936207,0.08375052326570978,0.058467451305366305,0.07070949338259139,0.10532254403263946,0.10542107379501467,0.05088745081635429,0.013796627983634445,0.057501749570541494,0.02476114282565712,0.09224431414311217,0.09892516021825541,0.08376464067182814,0.008541173487313777,0.09383261395924698,0.036672002413372394,0,0.9454261220720259,0.5983028665741041
22,0.009851165366621105,0.11698311812936629,0.019470801123741055,0.11840188335087627,0.1363107047615729,0.056343804327414974,0.03513822986356893,0.0012892144349257284,0.030752749990804424,0.11278609735021095,0.13301582207170146,0.06110025021753159,0.10402037459121866,0.012261353916721951,0.02585272791207503,0.026421702591648628,0,0.9241529646080116,0.6378301523902746
23,0.0963141034251516,0.10519730557061945,0.07402174200350592,0.11824358806720281,0.04341065824126147,0.07171011189963734,0.00841624114773678,0,0.1291619298328389,0.03825777466130658,0.04194711510359317,0.10883186879777251,0.021867431019306712,0.04608854600422057,0.0524944234985346,0.04403716072731167,0,0.9667052452274323,0.5534144972199875
24,0.046148222646712166,0.12367219656145115,0.05111751280325359,0.054561252194693655,0.16996121962243468,0.08971994331308403,0,0.1060264629050299,0.005940218768507146,0.03492824641022099,0.0548913699149616,0.07626237460477153,0.06193586200023176,0.07230478701643166,0.02390708700237371,0.028623244235842477,0,0.9234709948216968,0.6320812049011694
25,0.04677430780171548,0.05726878259253927,0.0027492159545266146,0.05860488255714877,0.16484344666858247,0.15479834939631731,0,0.1206095864032037,0.041131792643795996,0.03640133145019267,0.09369593492974833,0.05134563207031266,0.0009,0.061906560303676916,0.032709415766968744,0.07630136762239946,0,0.8797775427393327,0.6538111796928574
26,0.05040520018880449,0.023473134389193767,0.05261948003910229,0.058741353411553024,0.1807388429540479,0.07749634573818588,0.03976100152429979,0.017701243778859347,0.03651340043967635,0.041372127043268266,0.1165288161248335,0.03943181209609772,0.09265616850778911,0.01628325358923709,0.08382127463493845,0.07245654554011309,0,0.9286044482170793,0.6262370847652002
27,0.08419133308817647,0.0727867235765915,0.06661457925321591,0.10660640577510844,0.06951341956550984,0.021170644966889914,0.03905024229655564,0.08359903789979141,0.08044373322603979,0.0012043475892462537,0.014471560081060207,0.08905364310759542,0.10070996706942066,0.08020108093590024,0.06410156370519304,0.026281717863705294,0,0.9820840962504106,0.5490455324407828
28,0.010339365799291324,0.10287725224350933,0.03261623594669922,0.07101463482371265,0.15772297518012515,0.1134880251310509,0.0072601062004469495,0.06879083446187118,0.067637638824979,0.10453811814701494,0.0718741811306895,0.0002,0.03938064756309044,0.07500512672000827,0.0009,0.07635292338263167,0,0.9042470726484267,0.6375799580617356
