Mixture,B cells naive,B cells memory,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Neutrophils,P-value,Correlation,RMSE
42,0.0141177266712102,0.0882217382228442,0.0369733382534178,0.0805852117741839,0.117983237880691,0.132114341995973,0.0505257836774885,0,0.0560441044225835,0.05725528146473,0.10602338824632,0.0654764191931592,0.0793927259381997,0.0556367529894501,0.00561667621944582,0.0540332730503024,0,0.97383138230322,0.606283412933206
43,0.0490288816011543,0.0865890202196521,0.0521002452393505,0.0789323148511759,0.095220933823234,0.100993782405182,0.0720861997258613,0.00740763416007091,0.0669474475255978,0.0798901374011175,0.0999905165172688,0.0689345947148997,0.0499796111526452,0.0105119745436559,0.00921202352434806,0.0721746825947857,0,0.979520390216047,0.579212299872411
44,0.0236010280753402,0.117429013897051,0.0682462600386508,0.0491126856569209,0.0778221786446017,0.0763452082471508,0.0233295249096519,0.0267421798482665,0.133643998643027,0.0235405708435081,0.101938624973703,0.086119126351289,0.0750951516873827,0.0679522474714899,0.0270836375805486,0.0219985631314174,0,0.984483757079238,0.555730997456526
45,0.0234965479888678,0.0317725411958153,0.0934269111235669,0.0859335589293873,0.0764760603717635,0.121613894240362,0.00495280296436072,0.0421617893276294,0.111286016349158,0.0268561136185559,0.0877736363349039,0.0768471902382602,0.091783071432698,0.091688406777823,0.0309434871672042,0.0029879719396441,0,0.981820165803648,0.563521651436626
46,0.116503797385235,0.0104927813246019,0.0583806571767472,0.066459381187392,0.105756743307507,0.0810685946034618,0.0948246229297872,0,0.0768598301835978,0.0284090423271336,0.0727300018782504,0.0605843018375468,0.0151507954901801,0.0423384212496116,0.0619566934502562,0.108484335668691,0,0.989288600826525,0.554043710107504
47,0.0401874314693855,0.10016195034705,0.0629871168713408,0.0870290664968666,0.107145250057677,0.118181156221687,0.0514353665705094,0.0602832467938983,0.0591256122464759,0.0130334090549612,0.0636735018057026,0.0590021732361956,0.0136323761429881,0.0546955838930681,0.0820434276317156,0.0273833311604783,0,0.985695116697118,0.559003213227607
48,0.0610500785179327,0.0937966284500433,0.00826676712015063,0.0936676378585055,0.160222109866454,0.121355370846074,0.00734895149749946,0.0193256435800345,0.00497362071309908,0.0687346830783106,0.0697562357530326,0.00552460584456841,0.0980866964404546,0.0471833854343121,0.0911967972805167,0.0495107877190115,0,0.973915258448302,0.622504814233564
49,0.0521838443120339,0.049814387865528,0.0314945023186453,0.105439036485256,0.100049591621257,0.052069995574784,0.0302531122473,0.0800414139705565,0.0608176024826085,0.0149220230041907,0.0788727780420025,0.0423050881898272,0.103676761662144,0.0708289995893891,0.0891170675887534,0.0381137950457235,0,0.982218482606593,0.585845644726561
50,0.0667635369954965,0.0767417443155919,0.0986942034966883,0.070303333373982,0.118418924172953,0.0718794641737222,0.0205677204805119,0.0777163517441073,0.10153993068681,0.0778916363486207,0.0178838210035123,0.00929838664745226,0.0546217681855036,0.0169220459472017,0.0752877588551794,0.0454693735726675,0,0.987315230581808,0.53655387637844
51,0.0584792340797112,0.0502922343985165,0.0448824715438897,0.0591109365520923,0.121637179968061,0.0835452318864951,0.0571774405576271,0.09887611620949,0.0926669954828001,0.0139754111145394,0.0643699893505645,0.0773163976036877,0.0741494551684956,0.02088106790716,0.0617247617901956,0.0209150763866739,0,0.990445673079182,0.52463404849715
52,0.050953112102491,0.0398812813421571,0.0411020081758668,0.0860567770811388,0.152890404231447,0.0996324762957511,0.0571812409332666,0.0535321486807254,0.0467380101096482,0.0770344072220607,0.0352138233183658,0.043639858820729,0.0630133648616467,0.0421319811327884,0.0442046151526365,0.066794490539281,0,0.983705759519968,0.579279566859871
53,0.0797395082026205,0.0778502778510047,0.0717228557206367,0.0716148010575759,0.05649499047839,0.069901223246239,0.0845693578599609,0.0647212382641213,0.0733354209489058,0.044161652917269,0.0292497161842897,0.0190034634310671,0.0566019454269842,0.0388240576020077,0.0790499516564716,0.0831595391524559,0,0.987748179414657,0.55226853392939
54,0.0873417569532716,0.109891073606099,0.0323278942030834,0.0881189867558092,0.188026050650893,0.0562401515106057,0.022570617712049,0.0731304193549548,0.0603256873691222,0.0523978787871954,0.022877875944778,0.00371560874091905,0.0612376404271192,0.0261820309011859,0.0701429258735132,0.0454734012094017,0,0.985730453033482,0.557210445682397
